0.033	7.9
0.067	22.8
0.1	45.8
0.133	76.1
0.167	109.7
0.2	147.7
0.234	193.2
0.267	232.3
0.3	254.2
0.334	274.7
0.367	297.4
0.4	318.1
0.434	335.2
0.467	349.1
0.501	371.4
0.534	400.3
0.567	421.5
0.601	437.5
0.634	460.4
0.667	472.7
0.701	491.8
0.734	518.9
0.767	533.3
0.801	550.5
0.834	561.8
0.868	570.0
0.901	578.5
0.934	589.7
0.968	593.6
1.001	589.8
1.034	606.7
1.068	624.6
1.101	638.9
1.134	666.8
1.168	698.0
1.201	735.5
1.235	767.4
1.268	784.3
1.301	800.4
1.335	815.7
1.368	828.9
1.401	827.2
1.435	813.1
1.468	811.8
1.502	806.2
1.535	816.9
1.568	845.8
1.602	883.6
1.635	938.0
1.668	981.7
1.702	1012.1
1.735	1024.3
1.768	1027.8
1.802	1006.6
1.835	978.3
1.869	959.8
1.902	957.7
1.935	992.7
1.969	1052.1
2.002	1121.2
2.035	1169.7
2.069	1183.1
2.102	1157.3
2.135	1112.8
2.169	1065.2
2.202	1027.6
2.236	1016.7
2.269	1039.4
2.302	1088.5
2.336	1145.0
2.369	1181.2
2.402	1180.0
2.436	1154.2
2.469	1104.6
2.503	1048.4
2.536	1014.9
2.569	1017.1
2.603	1050.6
2.636	1094.9
2.669	1144.3
2.703	1178.7
2.736	1173.7
2.769	1142.8
2.803	1087.3
2.836	1045.6
2.87	1012.4
2.903	1005.5
2.936	1047.9
2.97	1096.2
3.003	1150.2
3.036	1171.1
3.07	1155.3
3.103	1130.6
3.136	1080.1
3.17	1029.0
3.203	1003.7
3.237	1004.3
